agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent061,2,18,7,18,18.0,self,1
agent062,2,21,29,21,21.0,self,3
agent063,2,17,11,17,17.0,self,2
agent064,2,33,7,33,33.0,self,3
agent065,2,35,18,35,35.0,self,1
agent066,2,25,31,25,25.0,self,3
agent067,2,17,29,17,17.0,self,1
agent068,2,42,22,42,42.0,self,3
agent069,2,22,26,22,22.0,self,2
agent06a,2,11,21,11,11.0,self,2
agent06b,2,29,21,29,29.0,self,2
agent06c,2,22,29,22,22.0,self,3
agent06d,2,28,10,28,28.0,self,1
agent06e,2,44,29,44,44.0,self,2
agent06f,2,38,23,38,38.0,self,1
agent070,2,7,29,7,7.0,self,1
agent071,2,39,29,39,39.0,self,1
agent072,2,9,18,9,9.0,self,2
agent073,2,38,21,38,38.0,self,2
agent074,2,42,21,42,42.0,self,1
agent075,2,14,31,14,14.0,self,1
agent076,2,43,31,43,43.0,self,3
agent077,2,36,7,36,36.0,self,2
agent078,2,26,29,26,26.0,self,3
agent079,2,29,21,29,29.0,self,3
agent07a,2,47,17,47,47.0,self,3
agent07b,2,24,7,24,24.0,self,1
agent07c,2,20,31,20,20.0,self,2
agent07d,2,16,7,16,16.0,self,1
agent07e,2,21,29,21,21.0,self,3
agent07f,2,13,21,13,13.0,self,3
agent080,2,18,7,18,18.0,self,1
agent081,2,34,29,34,34.0,self,2
agent082,2,44,43,44,44.0,self,3
agent083,2,7,29,7,7.0,self,1
agent084,2,25,21,25,25.0,self,1
agent085,2,11,21,11,11.0,self,1
agent086,2,29,24,29,29.0,self,3
agent087,2,33,31,33,33.0,self,1
agent088,2,23,21,23,23.0,self,1
agent089,2,40,21,40,40.0,self,1
agent08a,2,31,7,31,31.0,self,1
agent08b,2,25,21,25,25.0,self,3
agent08c,2,18,29,18,18.0,self,2
agent08d,2,22,21,22,22.0,self,2
agent08e,2,31,21,31,31.0,self,3
agent08f,2,22,29,22,22.0,self,1
agent090,2,36,29,36,36.0,self,3
agent091,2,37,43,37,37.0,self,2
agent092,2,29,29,29,29.0,self,1
agent093,2,42,22,42,42.0,self,3
agent094,2,37,7,37,37.0,self,1
agent095,2,40,39,40,40.0,self,1
agent096,2,29,21,29,29.0,self,2
agent097,2,48,7,48,48.0,self,3
agent098,2,37,29,37,37.0,self,3
agent099,2,17,29,17,17.0,self,1
agent09a,2,29,21,29,29.0,self,3
agent09b,2,15,7,15,15.0,self,3
agent09c,2,41,35,41,41.0,self,1
agent09d,2,46,43,46,46.0,self,2
agent09e,2,21,35,21,21.0,self,3
agent09f,2,4,7,4,4.0,self,1
agent0a0,2,45,21,45,45.0,self,3
agent0a1,2,29,21,29,29.0,self,1
agent0a2,2,5,23,5,5.0,self,1
agent0a3,2,46,29,46,46.0,self,2
agent0a4,2,37,31,37,37.0,self,1
agent0a5,2,41,21,41,41.0,self,1
agent0a6,2,31,7,31,31.0,self,1
agent0a7,2,45,29,45,45.0,self,2
agent0a8,2,37,21,37,37.0,self,2
agent0a9,2,43,29,43,43.0,self,2
agent0aa,2,38,7,38,38.0,self,2
agent0ab,2,7,7,7,7.0,self,2
agent0ac,2,26,11,26,26.0,self,2
agent0ad,2,24,7,24,24.0,self,2
agent0ae,2,39,29,39,39.0,self,3
agent0af,2,46,18,46,46.0,self,3
agent0b0,2,48,22,48,48.0,self,3
agent0b1,2,23,31,23,23.0,self,3
agent0b2,2,21,29,21,21.0,self,1
agent0b3,2,10,21,10,10.0,self,1
agent0b4,2,24,29,24,24.0,self,1
agent0b5,2,32,15,32,32.0,self,1
agent0b6,2,42,31,42,42.0,self,1
agent0b7,2,18,24,18,18.0,self,1
agent0b8,2,10,21,10,10.0,self,2
agent0b9,2,34,7,34,34.0,self,3
agent0ba,2,22,21,22,22.0,self,2
agent0bb,2,32,21,32,32.0,self,2
agent0bc,2,7,21,7,7.0,self,2
agent0bd,2,5,24,5,5.0,self,1
agent0be,2,21,21,21,21.0,self,2
agent0bf,2,43,21,43,43.0,self,1
agent0c0,2,43,42,43,43.0,self,2
agent0c1,2,44,31,44,44.0,self,2
agent0c2,2,40,21,40,40.0,self,3
agent0c3,2,27,24,27,27.0,self,1
agent0c4,2,42,21,42,42.0,self,1
agent0c5,2,29,29,29,29.0,self,1
agent0c6,2,26,29,26,26.0,self,2
agent0c7,2,21,7,21,21.0,self,3
agent000,3,35,19,35,35.0,self,3
agent001,3,42,24,42,42.0,self,3
agent002,3,8,42,8,8.0,self,1
agent003,3,26,19,26,26.0,self,1
agent004,3,32,32,32,32.0,self,3
agent005,3,21,24,21,21.0,self,1
agent006,3,8,32,8,8.0,self,1
agent007,3,32,45,32,32.0,self,1
agent008,3,20,43,20,20.0,self,3
agent009,3,41,43,41,41.0,self,1
agent00a,3,34,24,34,34.0,self,1
agent00b,3,45,24,45,45.0,self,2
agent00c,3,9,28,9,9.0,self,1
agent00d,3,26,24,26,26.0,self,2
agent00e,3,41,19,41,41.0,self,3
agent00f,3,25,24,25,25.0,self,2
agent010,3,48,43,48,48.0,self,3
agent011,3,27,24,27,27.0,self,1
agent012,3,19,32,19,19.0,self,2
agent013,3,36,22,36,36.0,self,1
agent014,3,19,41,19,19.0,self,3
agent015,3,37,34,37,37.0,self,3
agent016,3,41,22,41,41.0,self,1
agent017,3,14,26,14,14.0,self,3
agent018,3,24,24,24,24.0,self,2
agent019,3,33,24,33,33.0,self,2
agent01a,3,27,24,27,27.0,self,3
agent01b,3,34,19,34,34.0,self,3
agent01c,3,26,24,26,26.0,self,1
agent01d,3,38,20,38,38.0,self,3
agent01e,3,25,24,25,25.0,self,2
agent01f,3,16,38,16,16.0,self,2
agent020,3,22,25,22,22.0,self,2
agent021,3,18,34,18,18.0,self,3
agent022,3,24,33,24,24.0,self,3
agent023,3,36,45,36,36.0,self,1
agent024,3,16,26,16,16.0,self,1
agent025,3,5,24,5,5.0,self,1
agent026,3,12,24,12,12.0,self,2
agent027,3,22,25,22,22.0,self,2
agent028,3,30,24,30,30.0,self,1
agent029,3,47,26,47,47.0,self,2
agent02a,3,10,45,10,10.0,self,2
agent02b,3,28,19,28,28.0,self,1
agent02c,3,31,11,31,31.0,self,3
agent02d,3,38,22,38,38.0,self,3
agent02e,3,22,43,22,22.0,self,1
agent02f,3,26,43,26,26.0,self,2
agent030,3,39,24,39,39.0,self,1
agent031,3,34,43,34,34.0,self,3
agent032,3,29,22,29,29.0,self,1
agent033,3,24,45,24,24.0,self,3
agent034,3,6,24,6,6.0,self,1
agent035,3,22,24,22,22.0,self,1
